Date;Price;Ticker
09/01/2026;72,38;SLV
02/01/2020;90,3;URTH
03/01/2020;89,54;URTH
06/01/2020;90,04;URTH
07/01/2020;89,81;URTH
08/01/2020;90,06;URTH
09/01/2020;90,58;URTH
10/01/2020;90,22;URTH
13/01/2020;90,8;URTH
14/01/2020;90,62;URTH
15/01/2020;90,74;URTH
16/01/2020;91,47;URTH
17/01/2020;91,78;URTH
21/01/2020;91,3;URTH
22/01/2020;91,46;URTH
23/01/2020;91,39;URTH
24/01/2020;90,78;URTH
27/01/2020;89,23;URTH
28/01/2020;90,05;URTH
29/01/2020;90,08;URTH
30/01/2020;90,22;URTH
31/01/2020;88,66;URTH
03/02/2020;89,15;URTH
04/02/2020;90,73;URTH
05/02/2020;91,58;URTH
06/02/2020;91,9;URTH
07/02/2020;91,3;URTH
10/02/2020;91,76;URTH
11/02/2020;92,18;URTH
12/02/2020;92,65;URTH
13/02/2020;92,35;URTH
14/02/2020;92,47;URTH
18/02/2020;92,2;URTH
19/02/2020;92,57;URTH
20/02/2020;92,18;URTH
21/02/2020;91,53;URTH
24/02/2020;88,36;URTH
25/02/2020;85,99;URTH
26/02/2020;85,73;URTH
27/02/2020;82,53;URTH
28/02/2020;81,35;URTH
02/03/2020;84,58;URTH
03/03/2020;82,68;URTH
04/03/2020;85,83;URTH
05/03/2020;83,22;URTH
06/03/2020;81,92;URTH
09/03/2020;75,14;URTH
10/03/2020;78,52;URTH
11/03/2020;74,61;URTH
12/03/2020;66,83;URTH
13/03/2020;72,24;URTH
16/03/2020;64,02;URTH
17/03/2020;67,65;URTH
18/03/2020;63,89;URTH
19/03/2020;64,37;URTH
20/03/2020;62,26;URTH
23/03/2020;61,14;URTH
24/03/2020;66,7;URTH
25/03/2020;67,9;URTH
26/03/2020;71,69;URTH
27/03/2020;69,51;URTH
30/03/2020;71,34;URTH
31/03/2020;70,7;URTH
01/04/2020;67,5;URTH
02/04/2020;68,89;URTH
03/04/2020;67,83;URTH
06/04/2020;72,12;URTH
07/04/2020;72,24;URTH
08/04/2020;73,97;URTH
09/04/2020;75,32;URTH
13/04/2020;74,68;URTH
14/04/2020;76,56;URTH
15/04/2020;74,83;URTH
16/04/2020;75,03;URTH
17/04/2020;77,0;URTH
20/04/2020;75,9;URTH
21/04/2020;73,81;URTH
22/04/2020;75,27;URTH
